Query,Expected Intent,Expected Depth,Gemini 2.5 Flash Intent,Gemini 2.5 Flash Depth,Gemini 2.5 Flash Lite Intent,Gemini 2.5 Flash Lite Depth,Gemini 2.5 Pro Intent,Gemini 2.5 Pro Depth,GPT-4o Mini Intent,GPT-4o Mini Depth,GPT-4o Intent,GPT-4o Depth,GPT-5 Intent,GPT-5 Depth,Claude 3.5 Haiku Intent,Claude 3.5 Haiku Depth
"I'm reading Romeo and Juliet for class - what's the main theme?",understand,surface,understand,surface,understand,guided,understand,surface,understand,surface,understand,surface,ERROR,ERROR,understand,surface
"I need to write an essay about postcolonial themes in Things Fall Apart - can you help me analyze them?",evaluate,deep,understand,guided,create,guided,create,deep,create,guided,understand,guided,ERROR,ERROR,create,guided
"I'm trying to write a haiku about autumn for my poetry assignment",create,guided,create,guided,create,guided,create,guided,create,guided,create,guided,ERROR,ERROR,create,guided
"Can you help me understand what caused the French Revolution? I have a test tomorrow",understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,ERROR,ERROR,understand,guided
"I'm curious about the Renaissance - what was it like?",explore,surface,understand,guided,understand,guided,understand,guided,explore,guided,understand,guided,ERROR,ERROR,explore,guided
"Compare FDR's New Deal with Reagan's economic policies",evaluate,guided,understand,guided,understand,guided,understand,guided,evaluate,guided,evaluate,guided,ERROR,ERROR,understand,guided
"I have to present in front of the whole class tomorrow and I'm really anxious",regulate,guided,regulate,guided,regulate,guided,regulate,guided,regulate,guided,regulate,guided,ERROR,ERROR,regulate,guided
"I'm studying neuroscience - can you explain how addiction affects the brain's reward pathways?",understand,deep,understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,ERROR,ERROR,understand,guided
"I keep procrastinating on my homework - any quick tips?",solve,surface,regulate,surface,regulate,guided,regulate,surface,regulate,surface,regulate,surface,ERROR,ERROR,regulate,guided
"I'm working on a business plan for my entrepreneurship class - it's for a coffee shop",organize,guided,create,deep,create,guided,create,deep,create,guided,create,deep,ERROR,ERROR,create,guided
"My parents want me to invest my summer job savings - are bonds a good idea right now?",evaluate,surface,evaluate,guided,evaluate,guided,evaluate,guided,evaluate,guided,evaluate,guided,ERROR,ERROR,evaluate,guided
"I don't get supply and demand curves - can you explain with examples?",understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,ERROR,ERROR,understand,guided
"I'm composing a piece for my music theory class and want to use modal interchange - can we work through it?",create,deep,create,guided,create,guided,create,guided,create,guided,create,deep,ERROR,ERROR,create,guided
"What's impressionism? I keep hearing about it in art class",understand,surface,understand,surface,understand,guided,understand,surface,understand,surface,understand,guided,ERROR,ERROR,understand,guided
"I'm interested in trying different pottery glazing techniques for my ceramics project",explore,guided,create,guided,explore,guided,explore,guided,explore,guided,explore,guided,ERROR,ERROR,explore,guided
"I'm confused about when to use the subjunctive in Spanish - help!",solve,guided,understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,ERROR,ERROR,understand,guided
"How do I write 'hello, nice to meet you' in Japanese?",create,surface,understand,surface,create,guided,understand,surface,create,surface,understand,surface,ERROR,ERROR,understand,surface
"For my linguistics paper - how did Latin evolve into the Romance languages?",understand,deep,understand,guided,understand,guided,understand,deep,understand,guided,understand,deep,ERROR,ERROR,understand,guided
"I've been thinking about free will vs determinism for my philosophy class - let's explore this",explore,deep,explore,deep,explore,deep,explore,deep,explore,deep,explore,deep,ERROR,ERROR,explore,deep
"Can we discuss the trolley problem? I need to understand it for ethics class",interact,guided,understand,guided,understand,guided,understand,guided,understand,guided,understand,guided,ERROR,ERROR,understand,guided
"Critique Kant's categorical imperative in modern contexts",evaluate,deep,evaluate,deep,evaluate,guided,evaluate,deep,evaluate,deep,evaluate,deep,ERROR,ERROR,evaluate,deep
"My grandma has diabetes - what are the main symptoms I should know about?",understand,surface,understand,surface,understand,guided,understand,surface,understand,surface,understand,guided,ERROR,ERROR,understand,guided
"I need a simple meal prep plan for my dorm room",organize,surface,create,guided,organize,guided,organize,guided,organize,guided,organize,guided,ERROR,ERROR,organize,guided
"I've been having trouble sleeping since finals started - what can I do?",solve,guided,solve,guided,regulate,guided,regulate,guided,regulate,guided,regulate,guided,ERROR,ERROR,regulate,guided
"I want to make my apartment more eco-friendly - what renewable energy options exist?",explore,guided,understand,guided,explore,guided,understand,guided,explore,guided,understand,guided,ERROR,ERROR,explore,guided
